Scenario,Replication,Seed,tick,travel_time,phase
2,1,123,149,58,pre_flood
2,1,123,149,51,pre_flood
2,1,123,149,51,pre_flood
2,1,123,149,11,pre_flood
2,1,123,150,148,pre_flood
2,1,123,150,144,pre_flood
2,1,123,150,131,pre_flood
2,1,123,150,129,pre_flood
2,1,123,150,105,pre_flood
2,1,123,150,68,pre_flood
2,1,123,150,67,pre_flood
2,1,123,150,61,pre_flood
2,1,123,150,58,pre_flood
2,1,123,150,40,pre_flood
2,1,123,150,11,pre_flood
2,1,123,151,148,pre_flood
2,1,123,151,144,pre_flood
2,1,123,151,143,pre_flood
2,1,123,151,131,pre_flood
2,1,123,151,105,pre_flood
2,1,123,151,92,pre_flood
2,1,123,151,87,pre_flood
2,1,123,151,61,pre_flood
2,1,123,151,58,pre_flood
2,1,123,151,48,pre_flood
2,1,123,151,11,pre_flood
2,1,123,152,148,pre_flood
2,1,123,152,144,pre_flood
2,1,123,152,143,pre_flood
2,1,123,152,68,pre_flood
2,1,123,152,67,pre_flood
2,1,123,152,65,pre_flood
2,1,123,152,58,pre_flood
2,1,123,152,51,pre_flood
2,1,123,152,51,pre_flood
2,1,123,152,47,pre_flood
2,1,123,152,11,pre_flood
2,1,123,153,131,pre_flood
2,1,123,153,106,pre_flood
2,1,123,153,105,pre_flood
2,1,123,153,98,pre_flood
2,1,123,153,86,pre_flood
2,1,123,153,73,pre_flood
2,1,123,153,67,pre_flood
2,1,123,153,61,pre_flood
2,1,123,153,58,pre_flood
2,1,123,153,38,pre_flood
2,1,123,153,21,pre_flood
2,1,123,153,11,pre_flood
2,1,123,154,154,pre_flood
2,1,123,154,148,pre_flood
2,1,123,154,143,pre_flood
2,1,123,154,105,pre_flood
2,1,123,154,68,pre_flood
2,1,123,154,67,pre_flood
2,1,123,154,61,pre_flood
2,1,123,154,58,pre_flood
2,1,123,154,51,pre_flood
2,1,123,154,40,pre_flood
2,1,123,154,11,pre_flood
2,1,123,154,6,pre_flood
2,1,123,155,143,pre_flood
2,1,123,155,106,pre_flood
2,1,123,155,105,pre_flood
2,1,123,155,92,pre_flood
2,1,123,155,91,pre_flood
2,1,123,155,87,pre_flood
2,1,123,155,84,pre_flood
2,1,123,155,65,pre_flood
2,1,123,155,58,pre_flood
2,1,123,155,51,pre_flood
2,1,123,155,48,pre_flood
2,1,123,155,35,pre_flood
2,1,123,155,22,pre_flood
2,1,123,156,143,pre_flood
2,1,123,156,133,pre_flood
2,1,123,156,124,pre_flood
2,1,123,156,105,pre_flood
2,1,123,156,86,pre_flood
2,1,123,156,68,pre_flood
2,1,123,156,67,pre_flood
2,1,123,156,58,pre_flood
2,1,123,156,51,pre_flood
2,1,123,156,34,pre_flood
2,1,123,157,144,pre_flood
