Scenario,Replication,Seed,agent_id,agent_type,name,road,condition,is_broken,broke_during_flood,total_vehicles_passed,length
2,2,456,1001018,Link,,N1,,,,8487,1862.991
2,2,456,1001028,Bridge,bridge 295,N1,A,False,False,0,14.1
2,2,456,1001029,Bridge,bridge 296,N1,B,False,False,0,11.0
2,2,456,1001030,Link,,N1,,,,1448,120.457
2,2,456,1001031,Bridge,bridge 297,N1,A,False,False,0,10.3
2,2,456,1001032,Link,,N1,,,,8487,1364.3339999999998
2,2,456,1001037,Bridge,bridge 298,N1,A,False,False,66,14.0
2,2,456,1001038,Bridge,bridge 299,N1,A,False,False,0,23.5
2,2,456,1001039,Link,,N1,,,,1391,153.1
2,2,456,1001040,Bridge,bridge 300,N1,C,True,True,6765,50.6
2,2,456,1001041,Link,,N1,,,,8528,828.562
2,2,456,1001043,Bridge,bridge 301,N1,C,False,False,0,6.6
2,2,456,1001044,Bridge,bridge 302,N1,A,False,False,0,2.4
2,2,456,1001045,Bridge,bridge 303,N1,A,False,False,0,17.0
2,2,456,1001046,Link,,N1,,,,202,326.336
2,2,456,1001047,Bridge,bridge 304,N1,A,False,False,0,2.4
2,2,456,1001048,Bridge,bridge 305,N1,C,False,False,0,11.1
2,2,456,1001049,Link,,N1,,,,69,81.501
2,2,456,1001050,Bridge,bridge 306,N1,C,True,True,6697,8.5
2,2,456,1001051,Link,,N1,,,,58,80.084
2,2,456,1001053,Bridge,bridge 307,N1,C,False,False,64,2.4
2,2,456,1001054,Bridge,bridge 308,N1,B,False,False,0,20.7
2,2,456,1001055,Link,,N1,,,,8532,4007.664
2,2,456,1001067,Bridge,bridge 309,N1,B,False,False,0,2.2
2,2,456,1001068,Bridge,bridge 310,N1,C,True,True,6721,10.9
2,2,456,1001069,Link,,N1,,,,0,21.237
2,2,456,1001070,Bridge,bridge 311,N1,C,False,False,0,2.1
2,2,456,1001071,Link,,N1,,,,0,86.454
2,2,456,1001072,Bridge,bridge 312,N1,A,False,False,0,2.0
2,2,456,1001073,Bridge,bridge 313,N1,A,False,False,0,1.8
2,2,456,1001074,Bridge,bridge 314,N1,A,False,False,0,2.2
2,2,456,1001075,Link,,N1,,,,8554,728.848
2,2,456,1001077,Bridge,bridge 315,N1,A,False,False,0,6.4
2,2,456,1001078,Bridge,bridge 316,N1,A,False,False,0,2.2
2,2,456,1001079,Link,,N1,,,,8555,757.9369999999999
2,2,456,1001082,Bridge,bridge 317,N1,A,False,False,0,3.1
2,2,456,1001083,Bridge,bridge 318,N1,C,False,False,0,38.7
2,2,456,1001084,Link,,N1,,,,0,6.171
2,2,456,1001085,Bridge,bridge 319,N1,A,False,False,0,3.0
2,2,456,1001086,Link,,N1,,,,1604,320.477
2,2,456,1001088,Bridge,bridge 320,N1,B,False,False,0,9.4
2,2,456,1001089,Bridge,bridge 321,N1,D,True,True,6739,15.4
2,2,456,1001090,Link,,N1,,,,8568,2981.3250000000003
2,2,456,1001095,Bridge,bridge 322,N1,C,False,False,0,3.0
2,2,456,1001096,Bridge,bridge 323,N1,A,False,False,0,4.6
2,2,456,1001097,Link,,N1,,,,1899,505.318
2,2,456,1001098,Bridge,bridge 324,N1,C,True,True,6739,9.4
2,2,456,1001099,Bridge,bridge 325,N1,C,False,False,0,15.2
2,2,456,1001100,Link,,N1,,,,1584,307.552
2,2,456,1001102,Bridge,bridge 326,N1,C,True,True,6944,58.0
2,2,456,1001103,Link,,N1,,,,53,239.243
2,2,456,1001104,Bridge,bridge 327,N1,B,False,False,0,3.3
2,2,456,1001105,Link,,N1,,,,6825,492.784
2,2,456,1001106,Bridge,bridge 328,N1,C,False,False,1590,15.4
2,2,456,1001107,Link,,N1,,,,146,237.938
2,2,456,1001108,Bridge,bridge 329,N1,A,False,False,0,3.3
2,2,456,1001109,Link,,N1,,,,53,88.805
2,2,456,1001110,Bridge,bridge 330,N1,D,True,True,6798,12.3
2,2,456,1001111,Link,,N1,,,,1653,460.183
2,2,456,1001112,Bridge,bridge 331,N1,C,True,True,6792,1.2
2,2,456,1001113,Bridge,bridge 332,N1,C,False,False,73,15.2
2,2,456,1001114,Link,,N1,,,,73,161.131
2,2,456,1001115,Bridge,bridge 333,N1,C,False,False,0,1.3
2,2,456,1001116,Bridge,bridge 334,N1,A,False,False,0,3.3
2,2,456,1001117,Bridge,bridge 335,N1,B,False,False,0,4.7
2,2,456,1001118,Link,,N1,,,,120,230.319
2,2,456,1001119,Bridge,bridge 336,N1,C,True,True,6798,1.2
2,2,456,1001120,Link,,N1,,,,1530,289.032
2,2,456,1001121,Bridge,bridge 337,N1,D,True,True,6803,6.4
2,2,456,1001122,Bridge,bridge 338,N1,A,False,False,0,3.35
2,2,456,1001123,Bridge,bridge 339,N1,C,True,True,6834,13.0
2,2,456,1001124,Link,,N1,,,,57,44.541
2,2,456,1001125,Bridge,bridge 340,N1,A,False,False,0,3.2
2,2,456,1001126,Link,,N1,,,,146,93.005
2,2,456,1001127,Bridge,bridge 341,N1,A,False,False,0,3.4
2,2,456,1001128,Bridge,bridge 342,N1,A,False,False,0,2.8
2,2,456,1001129,Bridge,bridge 343,N1,D,True,True,6860,12.8
2,2,456,1001130,Link,,N1,,,,53,188.431
2,2,456,1001131,Bridge,bridge 344,N1,A,False,False,0,1.2
2,2,456,1001132,Link,,N1,,,,189,332.301
2,2,456,1001134,Bridge,bridge 345,N1,A,False,False,0,1.2
